[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30900 MB
[runlim] argv[0]:		/home/samuel/Software/cvc5-Linux
[runlim] argv[1]:		--lang
[runlim] argv[2]:		smt
[runlim] argv[3]:		acc_large.smt
[runlim] start:			Mon Oct  9 15:12:36 2023
[runlim] main pid:		58365
[runlim] sample:		10.0 time, 10.5 real, 117.1 MB
[runlim] sample:		20.0 time, 20.5 real, 122.3 MB
[runlim] sample:		30.0 time, 30.5 real, 128.5 MB
[runlim] sample:		40.0 time, 40.5 real, 150.6 MB
[runlim] sample:		50.0 time, 50.5 real, 158.8 MB
[runlim] sample:		60.0 time, 60.5 real, 162.0 MB
[runlim] sample:		70.0 time, 70.5 real, 163.3 MB
[runlim] sample:		80.0 time, 80.5 real, 163.3 MB
[runlim] sample:		90.0 time, 90.5 real, 163.5 MB
[runlim] sample:		100.0 time, 100.5 real, 164.1 MB
[runlim] sample:		110.0 time, 110.5 real, 164.1 MB
[runlim] sample:		120.0 time, 120.5 real, 164.1 MB
[runlim] sample:		130.0 time, 130.5 real, 164.1 MB
[runlim] sample:		140.0 time, 140.5 real, 164.1 MB
[runlim] sample:		149.9 time, 150.5 real, 164.1 MB
[runlim] sample:		159.9 time, 160.5 real, 164.1 MB
[runlim] sample:		169.9 time, 170.5 real, 164.1 MB
[runlim] sample:		179.9 time, 180.5 real, 164.1 MB
[runlim] sample:		189.9 time, 190.5 real, 164.1 MB
[runlim] sample:		199.9 time, 200.5 real, 164.1 MB
[runlim] sample:		209.9 time, 210.5 real, 164.4 MB
[runlim] sample:		219.9 time, 220.5 real, 165.0 MB
[runlim] sample:		229.9 time, 230.5 real, 165.1 MB
[runlim] sample:		239.9 time, 240.5 real, 167.9 MB
[runlim] sample:		249.9 time, 250.5 real, 167.9 MB
[runlim] sample:		259.9 time, 260.5 real, 168.0 MB
[runlim] sample:		269.9 time, 270.5 real, 168.0 MB
[runlim] sample:		279.9 time, 280.5 real, 168.0 MB
[runlim] sample:		289.9 time, 290.5 real, 168.0 MB
[runlim] sample:		299.9 time, 300.5 real, 168.3 MB
