[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30900 MB
[runlim] argv[0]:		/home/samuel/Software/cvc5-Linux
[runlim] argv[1]:		--lang
[runlim] argv[2]:		smt
[runlim] argv[3]:		acc_large_retrain.smt
[runlim] start:			Mon Oct  9 15:14:01 2023
[runlim] main pid:		58593
[runlim] sample:		10.0 time, 10.7 real, 116.2 MB
[runlim] sample:		20.0 time, 20.7 real, 122.3 MB
[runlim] sample:		30.0 time, 30.7 real, 130.9 MB
[runlim] sample:		40.0 time, 40.7 real, 136.1 MB
[runlim] sample:		50.0 time, 50.7 real, 159.6 MB
[runlim] sample:		60.0 time, 60.7 real, 161.1 MB
[runlim] sample:		70.0 time, 70.7 real, 163.3 MB
[runlim] sample:		80.0 time, 80.7 real, 163.3 MB
[runlim] sample:		90.0 time, 90.7 real, 164.1 MB
[runlim] sample:		100.0 time, 100.7 real, 164.8 MB
[runlim] sample:		110.0 time, 110.7 real, 165.1 MB
[runlim] sample:		120.0 time, 120.7 real, 165.2 MB
[runlim] sample:		129.9 time, 130.7 real, 165.2 MB
[runlim] sample:		139.9 time, 140.7 real, 165.2 MB
[runlim] sample:		149.9 time, 150.7 real, 165.2 MB
[runlim] sample:		159.9 time, 160.7 real, 165.2 MB
[runlim] sample:		169.9 time, 170.7 real, 165.2 MB
[runlim] sample:		179.9 time, 180.7 real, 165.2 MB
[runlim] sample:		189.9 time, 190.7 real, 165.2 MB
[runlim] sample:		199.9 time, 200.7 real, 165.7 MB
[runlim] sample:		209.9 time, 210.7 real, 166.2 MB
[runlim] sample:		219.9 time, 220.7 real, 166.6 MB
[runlim] sample:		229.9 time, 230.7 real, 166.6 MB
[runlim] sample:		239.9 time, 240.7 real, 166.6 MB
[runlim] sample:		249.9 time, 250.7 real, 166.6 MB
[runlim] sample:		259.9 time, 260.7 real, 166.6 MB
[runlim] sample:		269.9 time, 270.7 real, 166.6 MB
[runlim] sample:		279.9 time, 280.7 real, 166.8 MB
[runlim] sample:		289.9 time, 290.7 real, 169.3 MB
[runlim] sample:		299.9 time, 300.7 real, 169.3 MB
