[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		25000 MB
[runlim] argv[0]:		/home/samuel/Software/dReal-3.16.06.02-linux/bin/dReal
[runlim] argv[1]:		acc_large_retrain-nolet.smt2
[runlim] start:			Thu Mar  7 13:26:48 2024
[runlim] main pid:		51539
[runlim] sample:		10.0 time, 10.6 real, 1032.5 MB
[runlim] sample:		20.0 time, 20.6 real, 1032.5 MB
[runlim] sample:		30.0 time, 30.6 real, 1032.5 MB
[runlim] sample:		40.0 time, 40.6 real, 1032.5 MB
[runlim] sample:		50.0 time, 50.6 real, 1032.5 MB
[runlim] sample:		60.0 time, 60.6 real, 1032.5 MB
[runlim] sample:		70.0 time, 70.6 real, 1032.5 MB
[runlim] sample:		80.0 time, 80.6 real, 1032.5 MB
[runlim] sample:		90.0 time, 90.6 real, 1032.5 MB
[runlim] sample:		100.0 time, 100.6 real, 1032.5 MB
[runlim] sample:		110.0 time, 110.6 real, 1032.5 MB
[runlim] sample:		120.0 time, 120.6 real, 1032.5 MB
[runlim] sample:		130.0 time, 130.6 real, 1032.5 MB
[runlim] sample:		140.0 time, 140.6 real, 1032.5 MB
[runlim] sample:		150.0 time, 150.6 real, 1032.5 MB
[runlim] sample:		160.0 time, 160.6 real, 1032.5 MB
[runlim] sample:		170.0 time, 170.6 real, 1032.5 MB
[runlim] sample:		180.0 time, 180.6 real, 1032.5 MB
[runlim] sample:		190.0 time, 190.6 real, 1032.5 MB
[runlim] sample:		200.0 time, 200.6 real, 1032.5 MB
[runlim] sample:		210.0 time, 210.6 real, 1032.5 MB
[runlim] sample:		220.0 time, 220.6 real, 1032.5 MB
[runlim] sample:		230.0 time, 230.6 real, 1032.5 MB
[runlim] sample:		240.0 time, 240.6 real, 1032.5 MB
[runlim] sample:		250.0 time, 250.6 real, 1032.5 MB
[runlim] sample:		260.0 time, 260.6 real, 1032.5 MB
[runlim] sample:		270.0 time, 270.6 real, 1032.5 MB
[runlim] sample:		280.0 time, 280.6 real, 1032.5 MB
[runlim] sample:		290.0 time, 290.6 real, 1032.5 MB
[runlim] sample:		300.0 time, 300.6 real, 1032.5 MB
