[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30900 MB
[runlim] argv[0]:		/home/samuel/Software/mathsat-5.6.10-linux-x86_64/bin/mathsat
[runlim] argv[1]:		acc_large.smt
[runlim] start:			Mon Oct  9 10:58:58 2023
[runlim] main pid:		17832
[runlim] sample:		10.0 time, 10.1 real, 80.0 MB
[runlim] sample:		20.0 time, 20.1 real, 87.4 MB
[runlim] sample:		29.9 time, 30.1 real, 92.7 MB
[runlim] sample:		39.9 time, 40.1 real, 91.6 MB
[runlim] sample:		49.9 time, 50.1 real, 90.6 MB
[runlim] sample:		59.9 time, 60.1 real, 91.0 MB
[runlim] sample:		69.9 time, 70.1 real, 90.9 MB
[runlim] sample:		79.9 time, 80.1 real, 88.9 MB
[runlim] sample:		89.9 time, 90.1 real, 90.6 MB
[runlim] sample:		99.9 time, 100.1 real, 90.1 MB
[runlim] sample:		109.9 time, 110.1 real, 90.5 MB
[runlim] sample:		119.9 time, 120.1 real, 89.9 MB
[runlim] sample:		129.9 time, 130.1 real, 89.9 MB
[runlim] sample:		139.9 time, 140.1 real, 90.6 MB
[runlim] sample:		149.9 time, 150.1 real, 90.4 MB
[runlim] sample:		159.9 time, 160.1 real, 91.0 MB
[runlim] sample:		169.9 time, 170.1 real, 91.0 MB
[runlim] sample:		179.9 time, 180.1 real, 90.4 MB
[runlim] sample:		189.9 time, 190.1 real, 89.9 MB
[runlim] sample:		199.9 time, 200.1 real, 89.9 MB
[runlim] sample:		209.9 time, 210.1 real, 89.7 MB
[runlim] sample:		219.9 time, 220.1 real, 89.7 MB
[runlim] sample:		229.9 time, 230.1 real, 89.7 MB
[runlim] sample:		239.9 time, 240.1 real, 89.9 MB
[runlim] sample:		249.9 time, 250.1 real, 89.3 MB
[runlim] sample:		259.9 time, 260.1 real, 89.7 MB
[runlim] sample:		269.9 time, 270.1 real, 89.5 MB
[runlim] sample:		279.9 time, 280.1 real, 89.2 MB
[runlim] sample:		289.9 time, 290.1 real, 88.8 MB
[runlim] sample:		299.9 time, 300.1 real, 89.1 MB
[runlim] sample:		309.9 time, 310.1 real, 89.3 MB
