[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30900 MB
[runlim] argv[0]:		/home/samuel/Software/mathsat-5.6.10-linux-x86_64/bin/mathsat
[runlim] argv[1]:		acc_large_retrain.smt
[runlim] start:			Mon Oct  9 13:47:16 2023
[runlim] main pid:		41673
[runlim] sample:		10.0 time, 11.0 real, 80.7 MB
[runlim] sample:		20.0 time, 21.0 real, 87.7 MB
[runlim] sample:		30.0 time, 31.0 real, 89.4 MB
[runlim] sample:		40.0 time, 41.0 real, 92.9 MB
[runlim] sample:		50.0 time, 51.0 real, 90.8 MB
[runlim] sample:		60.0 time, 61.0 real, 89.9 MB
[runlim] sample:		70.0 time, 71.0 real, 89.9 MB
[runlim] sample:		80.0 time, 81.0 real, 90.5 MB
[runlim] sample:		90.0 time, 91.0 real, 89.9 MB
[runlim] sample:		100.0 time, 101.0 real, 91.2 MB
[runlim] sample:		110.0 time, 111.0 real, 91.4 MB
[runlim] sample:		120.0 time, 121.0 real, 91.1 MB
[runlim] sample:		130.0 time, 131.0 real, 91.1 MB
[runlim] sample:		140.0 time, 141.0 real, 90.8 MB
[runlim] sample:		150.0 time, 151.0 real, 90.9 MB
[runlim] sample:		160.0 time, 161.0 real, 90.5 MB
[runlim] sample:		170.0 time, 171.0 real, 90.6 MB
[runlim] sample:		180.0 time, 181.0 real, 90.5 MB
[runlim] sample:		190.0 time, 191.0 real, 90.5 MB
[runlim] sample:		200.0 time, 201.0 real, 90.3 MB
[runlim] sample:		210.0 time, 211.0 real, 90.3 MB
[runlim] sample:		220.0 time, 221.0 real, 90.2 MB
[runlim] sample:		230.0 time, 231.0 real, 89.7 MB
[runlim] sample:		240.0 time, 241.0 real, 89.7 MB
[runlim] sample:		250.0 time, 251.0 real, 89.7 MB
[runlim] sample:		260.0 time, 261.0 real, 89.5 MB
[runlim] sample:		270.0 time, 271.0 real, 89.5 MB
[runlim] sample:		280.0 time, 281.0 real, 89.5 MB
[runlim] sample:		290.0 time, 291.0 real, 89.5 MB
[runlim] sample:		300.0 time, 301.0 real, 89.1 MB
[runlim] sample:		310.0 time, 311.0 real, 89.0 MB
