[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30900 MB
[runlim] argv[0]:		z3
[runlim] argv[1]:		acc_large_retrain.smt
[runlim] start:			Mon Oct  9 12:35:06 2023
[runlim] main pid:		30991
[runlim] sample:		10.0 time, 10.1 real, 399.8 MB
[runlim] sample:		20.0 time, 20.1 real, 442.6 MB
[runlim] sample:		30.0 time, 30.1 real, 443.1 MB
[runlim] sample:		40.0 time, 40.1 real, 520.2 MB
[runlim] sample:		50.0 time, 50.1 real, 596.6 MB
[runlim] sample:		60.0 time, 60.1 real, 728.3 MB
[runlim] sample:		70.0 time, 70.1 real, 837.0 MB
[runlim] sample:		80.0 time, 80.1 real, 975.8 MB
[runlim] sample:		90.0 time, 90.1 real, 1291.8 MB
[runlim] sample:		100.0 time, 100.1 real, 1419.3 MB
[runlim] sample:		110.0 time, 110.1 real, 1475.3 MB
[runlim] sample:		120.0 time, 120.1 real, 1595.6 MB
[runlim] sample:		130.0 time, 130.1 real, 1670.6 MB
[runlim] sample:		140.0 time, 140.1 real, 1770.8 MB
[runlim] sample:		150.0 time, 150.1 real, 1916.6 MB
[runlim] sample:		160.0 time, 160.1 real, 2048.3 MB
[runlim] sample:		170.0 time, 170.1 real, 2068.6 MB
[runlim] sample:		180.0 time, 180.1 real, 2086.8 MB
[runlim] sample:		190.0 time, 190.1 real, 2114.7 MB
[runlim] sample:		200.0 time, 200.1 real, 2133.0 MB
[runlim] sample:		210.0 time, 210.1 real, 2159.7 MB
[runlim] sample:		220.0 time, 220.1 real, 2315.6 MB
[runlim] sample:		230.0 time, 230.1 real, 2458.8 MB
[runlim] sample:		240.0 time, 240.1 real, 2637.5 MB
[runlim] sample:		250.0 time, 250.1 real, 2701.7 MB
[runlim] sample:		260.0 time, 260.1 real, 2817.2 MB
[runlim] sample:		270.0 time, 270.1 real, 2914.0 MB
[runlim] sample:		280.0 time, 280.1 real, 3044.3 MB
[runlim] sample:		290.0 time, 290.1 real, 3145.0 MB
[runlim] sample:		300.0 time, 300.1 real, 3145.2 MB
[runlim] sample:		310.0 time, 310.1 real, 3145.3 MB
