[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30900 MB
[runlim] argv[0]:		/home/samuel/Software/z3pp/build/z3pp
[runlim] argv[1]:		acc_large.smt
[runlim] start:			Mon Oct  9 16:28:31 2023
[runlim] main pid:		71737
[runlim] sample:		10.0 time, 10.2 real, 609.0 MB
[runlim] sample:		20.0 time, 20.2 real, 645.2 MB
[runlim] sample:		30.0 time, 30.2 real, 736.2 MB
[runlim] sample:		40.0 time, 40.2 real, 737.7 MB
[runlim] sample:		50.0 time, 50.2 real, 737.7 MB
[runlim] sample:		60.0 time, 60.2 real, 737.7 MB
[runlim] sample:		70.0 time, 70.2 real, 737.7 MB
[runlim] sample:		80.0 time, 80.2 real, 737.7 MB
[runlim] sample:		90.0 time, 90.2 real, 737.7 MB
[runlim] sample:		100.0 time, 100.2 real, 737.7 MB
[runlim] sample:		110.0 time, 110.2 real, 737.7 MB
[runlim] sample:		120.0 time, 120.2 real, 737.7 MB
[runlim] sample:		130.0 time, 130.2 real, 737.7 MB
[runlim] sample:		140.0 time, 140.2 real, 737.7 MB
[runlim] sample:		150.0 time, 150.2 real, 737.7 MB
[runlim] sample:		160.0 time, 160.2 real, 740.9 MB
[runlim] sample:		170.0 time, 170.2 real, 740.9 MB
[runlim] sample:		180.0 time, 180.2 real, 740.9 MB
[runlim] sample:		190.0 time, 190.2 real, 740.9 MB
[runlim] sample:		199.9 time, 200.2 real, 740.9 MB
[runlim] sample:		209.9 time, 210.2 real, 740.9 MB
[runlim] sample:		219.9 time, 220.2 real, 740.9 MB
[runlim] sample:		229.9 time, 230.2 real, 740.9 MB
[runlim] sample:		239.9 time, 240.2 real, 740.9 MB
[runlim] sample:		249.9 time, 250.2 real, 740.9 MB
[runlim] sample:		259.9 time, 260.2 real, 740.9 MB
[runlim] sample:		269.9 time, 270.2 real, 740.9 MB
[runlim] sample:		279.9 time, 280.2 real, 740.9 MB
[runlim] sample:		289.9 time, 290.2 real, 740.9 MB
[runlim] sample:		299.9 time, 300.2 real, 740.9 MB
[runlim] sample:		309.9 time, 310.2 real, 740.9 MB
