[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		7976 MB
[runlim] argv[0]:		./bin/SNNT
[runlim] argv[1]:		test/parsing/examples/zeppelin/formula
[runlim] argv[2]:		test/parsing/examples/zeppelin/fixed
[runlim] argv[3]:		test/parsing/examples/zeppelin/mapping
[runlim] argv[4]:		test/networks/zeppelin-2000000-64-64.onnx
[runlim] argv[5]:		experiments/zeppelin-1/result.jld
[runlim] start:			Sat May 21 06:48:33 2022
[runlim] main pid:		577
[runlim] sample:		9.3 time, 10.4 real, 1267.2 MB
[runlim] sample:		19.3 time, 20.4 real, 1251.8 MB
[runlim] sample:		29.3 time, 30.4 real, 1297.9 MB
[runlim] sample:		39.3 time, 40.4 real, 1334.4 MB
[runlim] sample:		49.3 time, 50.4 real, 1388.1 MB
[runlim] sample:		59.3 time, 60.4 real, 1479.0 MB
[runlim] sample:		69.3 time, 70.4 real, 1523.9 MB
[runlim] sample:		79.3 time, 80.4 real, 1538.3 MB
[runlim] sample:		89.3 time, 90.4 real, 1573.9 MB
[runlim] sample:		99.3 time, 100.4 real, 1588.2 MB
[runlim] sample:		109.3 time, 110.4 real, 1566.9 MB
[runlim] sample:		119.3 time, 120.4 real, 1567.4 MB
[runlim] sample:		129.3 time, 130.4 real, 1568.2 MB
[runlim] sample:		139.3 time, 140.4 real, 1573.0 MB
[runlim] sample:		149.3 time, 150.4 real, 1595.1 MB
[runlim] sample:		159.3 time, 160.4 real, 1575.7 MB
[runlim] sample:		169.3 time, 170.4 real, 1572.7 MB
[runlim] sample:		179.3 time, 180.4 real, 1597.8 MB
[runlim] sample:		189.3 time, 190.4 real, 1590.4 MB
[runlim] sample:		199.3 time, 200.4 real, 1571.4 MB
[runlim] sample:		209.3 time, 210.4 real, 1588.8 MB
[runlim] sample:		219.3 time, 220.4 real, 1577.8 MB
[runlim] sample:		229.3 time, 230.4 real, 1641.3 MB
[runlim] sample:		239.3 time, 240.4 real, 1551.3 MB
[runlim] sample:		249.3 time, 250.4 real, 1503.0 MB
[runlim] sample:		259.3 time, 260.4 real, 1551.5 MB
